time,ax,ay,az,aT
17.1430,8.0842,-7.4433,4.8631,12.017
17.1480,8.3580,-7.5279,4.3933,12.076
17.1530,8.1472,-7.0195,3.8215,11.413
17.1570,7.4866,-6.1416,3.0290,10.146
17.1620,6.2681,-5.0155,1.2638,8.127
17.1950,4.6346,-3.4411,-0.3999,5.786
17.1950,3.2517,-1.5510,-0.4835,3.635
17.1950,2.2997,-0.0048,0.0181,2.300
17.1960,1.5653,1.0668,0.4977,1.958
17.1960,1.0141,1.8340,0.7536,2.227
17.1960,0.5393,2.3859,0.7636,2.563
17.1960,0.1486,2.7298,0.6685,2.814
17.2000,-0.2752,2.9567,0.4501,3.003
17.2050,-0.6794,3.1622,0.3097,3.249
17.2090,-1.1016,3.2749,0.1676,3.459
17.2150,-1.5775,3.3403,0.0459,3.694
17.2190,-2.0388,3.3422,0.0182,3.915
17.2230,-2.3966,3.1735,0.0679,3.977
17.2270,-2.6116,2.9281,0.1031,3.925
17.2320,-2.6907,2.6804,0.0858,3.799
17.2370,-2.7848,2.4306,0.1573,3.700
17.2410,-2.8740,2.0834,0.2180,3.556
17.2460,-2.8224,1.6650,0.3061,3.291
17.2520,-2.7042,1.1352,0.4338,2.965
17.2570,-2.5440,0.5462,0.5413,2.658
17.2610,-2.4139,0.0031,0.6186,2.492
17.2690,-2.3286,-0.4703,0.6556,2.464
17.2720,-2.1328,-0.9794,0.7355,2.460
17.2760,-1.9372,-1.4622,0.7995,2.555
17.2810,-1.7852,-1.7853,0.8902,2.677
17.3160,-1.6627,-1.9725,0.9963,2.766
17.3170,-1.6394,-2.0603,1.1341,2.867
17.3170,-1.7125,-1.9792,1.2852,2.916
17.3170,-1.8099,-1.8199,1.4174,2.932
17.3170,-1.8572,-1.5943,1.5541,2.899
17.3180,-1.9518,-1.2970,1.6696,2.877
17.3180,-2.0861,-0.9685,1.8113,2.928
17.3180,-2.2261,-0.6037,1.9181,3.000
17.3230,-2.3404,-0.2141,1.9918,3.081
17.3290,-2.3783,0.0501,2.1081,3.179
17.3340,-2.3328,0.2825,2.2587,3.259
17.3430,-2.2039,0.4880,2.4125,3.304
17.3430,-2.0998,0.6474,2.5759,3.386
17.3470,-2.0182,0.8348,2.7057,3.477
17.3520,-1.8827,0.9618,2.8683,3.563
17.3570,-1.7676,1.1025,3.0036,3.655
17.3610,-1.6108,1.1709,3.1302,3.710
17.3690,-1.4844,1.2362,3.1499,3.695
17.3710,-1.3980,1.2313,3.0815,3.601
17.3750,-1.3733,1.2422,2.9683,3.498
17.3800,-1.3502,1.2233,2.9794,3.492
17.4140,-1.2786,1.1530,3.0749,3.524
17.4150,-1.1129,1.0406,3.1853,3.531
17.4150,-0.8843,0.8766,3.1861,3.421
17.4150,-0.6434,0.7345,3.1628,3.310
17.4150,-0.4430,0.6449,3.0263,3.126
17.4160,-0.2020,0.5237,2.8315,2.887
17.4160,0.0287,0.4014,2.6242,2.655
17.4190,0.2608,0.2370,2.4595,2.485
17.4270,0.4194,0.0920,2.3110,2.351
17.4310,0.4326,-0.0363,2.1350,2.179
17.4330,0.4320,-0.1193,1.8292,1.883
17.4390,0.3793,-0.1547,1.5317,1.586
17.4410,0.2798,-0.2119,1.2332,1.282
17.4450,0.1719,-0.2235,0.9626,1.003
17.4520,0.0443,-0.2277,0.7511,0.786
17.4550,-0.0431,-0.2335,0.5245,0.576
17.4590,-0.0779,-0.2839,0.3012,0.421
17.4640,-0.0746,-0.4189,0.0829,0.434
17.4940,-0.0075,-0.5599,-0.1139,0.571
17.4940,-0.0206,-0.7212,-0.3395,0.797
17.4940,-0.0736,-0.8693,-0.6045,1.061
17.4950,-0.1525,-1.0090,-0.8979,1.359
17.4950,-0.2501,-1.0995,-1.1776,1.630
17.4950,-0.4433,-1.1505,-1.3418,1.822
17.5000,-0.6383,-1.1734,-1.4376,1.962
17.5050,-0.7680,-1.2282,-1.6164,2.170
17.5090,-0.9613,-1.2142,-2.0565,2.574
17.5130,-1.2124,-1.2652,-2.6846,3.206
17.5180,-1.3168,-1.3287,-3.7177,4.162
17.5230,-1.2944,-1.5003,-4.7893,5.183
17.5270,-1.2519,-1.8265,-6.5475,6.912
17.5320,-1.2179,-2.1625,-10.0393,10.341
17.5370,-1.3394,-2.2736,-11.9097,12.199
17.5420,-1.3940,-2.3190,-11.2293,11.551
17.5460,-1.4081,-2.5989,-9.9848,10.413
17.5520,-1.4305,-2.8659,-8.6975,9.269
17.5560,-1.4800,-3.2251,-7.9286,8.686
17.5610,-1.5659,-3.6742,-8.2011,9.122
17.5650,-1.7057,-4.1122,-10.3596,11.276
17.5940,-1.8676,-4.5219,-12.6637,13.576
17.5940,-1.5717,-4.9936,-11.7179,12.834
17.5940,-1.3307,-5.2553,-8.5672,10.138
17.5950,-1.3012,-5.1715,-5.5801,7.718
17.5950,-1.4015,-4.7398,-3.6726,6.158
17.5950,-1.6337,-4.2560,-2.6648,5.281
17.6000,-1.9039,-3.8611,-2.5081,4.982
17.6040,-2.2050,-3.4033,-3.0900,5.098
17.6090,-2.4224,-2.8258,-4.8839,6.141
17.6130,-2.4544,-2.4358,-6.6050,7.455
17.6180,-2.2019,-2.2268,-7.4163,8.050
17.6220,-1.9342,-2.3696,-7.2644,7.882
17.6270,-1.5216,-2.8404,-6.0555,6.859
17.6310,-1.0476,-3.2209,-4.5841,5.700
17.6360,-0.7556,-3.3554,-3.5889,4.971
17.6430,-0.6355,-3.2838,-3.0051,4.496
17.6450,-0.4973,-3.2129,-2.8959,4.354
17.6530,-0.3223,-3.2157,-3.4164,4.703
17.6550,0.0492,-3.4677,-4.6025,5.763
17.6600,0.6299,-3.9366,-5.9129,7.131
17.6640,1.0659,-4.3701,-6.5685,7.961
17.6960,1.1306,-4.5026,-6.4759,7.968
17.6970,0.7904,-4.3510,-5.6896,7.206
17.6970,0.2268,-4.0023,-4.4632,5.999
17.6970,-0.5286,-3.7252,-3.1013,4.876
17.6980,-1.1905,-3.6182,-2.0330,4.318
17.6980,-1.4974,-3.6462,-1.3573,4.169
17.7000,-1.7992,-3.6253,-1.0865,4.191
17.7040,-1.8117,-3.6327,-0.8451,4.146
17.7110,-1.7711,-3.5396,-0.5280,3.993
17.7130,-1.5714,-3.5024,-0.2150,3.845
17.7170,-1.2651,-3.5381,0.0254,3.758
17.7230,-0.8357,-3.5538,0.3232,3.665
17.7280,-0.0965,-3.6724,0.7715,3.754
17.7320,0.8311,-3.8608,1.1347,4.109
17.7380,1.7334,-4.1202,1.4333,4.694
17.7410,2.4649,-4.3218,1.7828,5.285
17.7450,3.3066,-4.5781,2.3896,6.132
17.7540,4.3280,-4.8752,3.1454,7.238
17.7550,5.2648,-5.1627,3.7874,8.290
17.7600,6.0038,-5.2996,4.3922,9.134
17.7640,6.4763,-5.2569,5.0074,9.729
17.8000,7.0458,-5.1849,5.9699,10.591
17.8000,7.3946,-4.9587,7.0170,11.336
17.8010,7.5935,-4.5301,7.8907,11.851
17.8010,7.7465,-3.9648,8.6559,12.274
17.8010,7.8882,-3.1670,8.9793,12.364
17.8020,7.5676,-2.0952,8.3315,11.449
17.8020,7.0495,-1.1053,7.2363,10.163
17.8020,6.4994,-0.0701,5.9352,8.802
17.8090,6.0894,0.8907,4.8938,7.863
17.8120,5.6611,1.7458,3.5519,6.907
17.8170,5.0954,2.3419,-0.6125,5.641
17.8210,3.7878,2.6898,-5.7983,7.430
17.8270,2.2198,2.7148,-8.1593,8.881
17.8310,1.0195,2.6072,-7.8390,8.324
17.8360,0.3436,2.3740,-5.6937,6.178
17.8410,0.1709,2.0942,-3.0719,3.722
17.8450,0.1795,1.8126,-0.5772,1.911
17.8490,0.1303,1.7709,1.6851,2.448
17.8540,0.1344,1.8630,3.6726,4.120
17.8590,-0.0042,1.9868,5.1850,5.553
17.8640,0.0939,2.1518,6.2836,6.643
17.8970,0.0896,2.2813,6.6853,7.064
17.8970,-0.3101,2.5793,6.4218,6.927
17.8970,-0.8250,2.8374,6.0434,6.727
17.8980,-1.3174,3.0887,5.9500,6.832
17.8980,-1.5121,3.1688,5.9128,6.877
17.8980,-1.8012,3.0704,5.7982,6.804
17.8980,-2.0078,2.9092,5.5976,6.620
17.9030,-2.2758,2.7650,5.3306,6.422
17.9080,-2.4392,2.4940,5.1025,6.181
17.9120,-2.6378,2.0635,4.8996,5.935
17.9170,-2.7654,1.6524,4.8544,5.826
17.9220,-2.7654,1.3928,4.8919,5.789
17.9270,-2.6797,1.0216,4.9159,5.691
17.9300,-2.4287,0.7134,5.0454,5.645
17.9350,-2.2888,0.4387,5.2711,5.763
17.9400,-2.2174,0.2781,5.4434,5.884
17.9440,-2.2053,0.2950,5.6281,6.052
17.9490,-2.2611,0.6393,5.8340,6.289
17.9540,-2.1640,1.2309,5.9674,6.466
17.9600,-1.8989,1.8348,6.0901,6.638
17.9630,-1.6373,2.3399,6.2188,6.843
17.9710,-1.4221,2.7913,6.3810,7.108
17.9750,-1.2739,3.1739,6.5187,7.361
17.9800,-1.1922,3.5476,6.5917,7.580
17.9820,-1.1427,3.8691,6.6421,7.771
18.0180,-1.1511,4.1651,6.6842,7.959
18.0190,-1.1881,4.4645,6.6679,8.112
18.0190,-1.2698,4.6838,6.6319,8.218
18.0190,-1.3865,4.8762,6.5348,8.271
18.0190,-1.5114,4.9747,6.5062,8.328
18.0200,-1.5894,4.9343,6.4332,8.262
18.0200,-1.6559,4.7915,6.3681,8.140
18.0200,-1.6677,4.5580,6.2684,7.928
18.0260,-1.6152,4.2608,6.1474,7.652
18.0310,-1.4722,3.8613,5.9773,7.267
18.0350,-1.3772,3.4579,5.6830,6.793
18.0400,-1.2251,3.0381,5.2609,6.197
18.0440,-1.0923,2.5400,4.4551,5.243
18.0490,-0.9717,1.9253,2.7615,3.504
18.0540,-0.8723,1.0423,-0.0572,1.360
18.0580,-0.7242,-0.1786,-3.7570,3.830
18.0630,-0.5315,-1.6963,-8.3983,8.584
18.0970,-0.2951,-3.4789,-14.2036,14.626
18.0970,-0.1901,-5.5563,-21.6262,22.329
18.0970,0.1065,-7.7178,-27.1862,28.261
18.0980,0.3737,-9.5101,-29.7780,31.262
18.0980,0.1186,-10.4945,-28.8427,30.693
18.0980,-0.9343,-10.0534,-24.5756,26.569
18.0990,-2.1710,-8.4237,-18.6543,20.583
18.1010,-2.7805,-6.6588,-12.9658,14.839
18.1110,-2.6579,-5.3582,-8.0034,9.991
18.1120,-1.3359,-4.7806,-3.9407,6.338
18.1160,0.8403,-4.4833,-1.3682,4.762
18.1230,3.0602,-3.9779,0.4296,5.037
18.1260,4.3802,-3.1187,2.0390,5.751
18.1310,4.8380,-2.0095,3.5837,6.347
18.1350,4.7377,-0.7415,4.6881,6.706
18.1400,4.2791,0.5637,5.2307,6.781
18.1440,3.4520,1.9492,5.1064,6.465
18.1490,2.5207,3.2502,4.6739,6.226
18.1540,1.5607,4.3950,4.1676,6.255
18.1580,0.7616,5.4102,3.7037,6.601
18.1620,0.0733,6.1954,3.2282,6.986
18.1710,-0.4325,6.6936,2.9274,7.319
18.1730,-0.6434,6.7861,2.8739,7.398
18.1770,-0.1432,6.0048,3.0383,6.731
18.1810,0.8768,4.5943,3.3311,5.742
18.2170,2.1032,2.9579,3.6746,5.165
18.2180,3.2554,1.3220,4.4608,5.678
18.2180,4.3485,-0.2950,5.4832,7.004
18.2180,5.3667,-1.8729,6.3652,8.534
18.2180,6.1837,-3.2851,6.8147,9.771
18.2190,6.8874,-4.3868,6.6899,10.556
18.2190,7.5119,-5.2858,6.2976,11.137
18.2220,7.9612,-5.9848,5.6981,11.475
18.2270,8.0609,-6.3338,4.9732,11.394
18.2290,7.7051,-6.1363,4.1106,10.673
18.2340,6.7234,-5.2778,3.0549,9.077
18.2390,5.4244,-4.2665,0.4061,6.913
18.2440,4.2654,-3.6497,-2.4481,6.124
18.2480,3.3766,-2.4499,-1.7985,4.543
18.2540,2.7690,-1.1038,-0.1738,2.986
18.2590,2.2307,0.0719,1.1853,2.527
18.2630,1.8159,0.9815,2.0177,2.886
18.2680,1.4727,1.6581,2.3503,3.231
18.2950,1.2225,2.1091,2.3189,3.365
18.2960,1.0650,2.4154,2.2102,3.443
18.2960,0.8491,2.6538,2.0938,3.485
18.2960,0.5674,2.7500,1.9412,3.414
18.2970,0.2300,2.6447,1.7229,3.165
18.2970,-0.0649,2.4576,1.5175,2.889
18.3040,-0.2567,2.2085,1.3767,2.615
18.3120,-0.3789,1.8999,1.2908,2.328
18.3130,-0.5285,1.5729,1.2274,2.064
18.3150,-0.7215,1.1993,1.1650,1.821
18.3190,-0.8857,0.8033,1.0750,1.608
18.3260,-0.8765,0.3856,1.0462,1.418
18.3280,-0.8161,-0.0873,1.0259,1.314
18.3330,-0.7755,-0.5313,0.9929,1.367
18.3380,-0.7596,-0.9798,1.0380,1.617
18.3420,-0.8444,-1.3468,1.1247,1.947
18.3470,-0.9433,-1.6701,1.1731,2.248
18.3540,-1.0542,-1.9618,1.2688,2.563
18.3570,-1.1341,-2.2220,1.3956,2.859
18.3610,-1.2698,-2.3290,1.4552,3.026
18.3660,-1.3513,-2.4047,1.6056,3.192
18.3960,-1.4867,-2.3633,1.7356,3.287
18.3970,-1.6189,-2.2120,1.9137,3.343
18.3970,-1.7839,-1.9507,2.0714,3.358
18.3970,-1.9624,-1.5989,2.2708,3.401
18.3970,-2.1975,-1.1753,2.4221,3.475
18.3980,-2.3242,-0.8043,2.5421,3.537
18.4000,-2.4002,-0.4473,2.6027,3.569
18.4050,-2.3664,-0.1762,2.6015,3.521
18.4110,-2.5008,0.1212,2.5813,3.596
18.4130,-2.6379,0.4069,2.6226,3.742
18.4190,-2.8185,0.7121,2.6702,3.947
18.4240,-3.0373,0.9678,2.5393,4.076
18.4270,-3.1842,1.1171,2.3516,4.113
18.4320,-3.2375,1.2271,2.1326,4.066
18.4370,-3.3169,1.2886,1.9583,4.062
18.4410,-3.3772,1.3948,1.7747,4.062
18.4460,-3.4781,1.5004,1.5398,4.089
18.4550,-3.5960,1.6057,1.3326,4.158
18.4570,-3.6661,1.6439,1.2164,4.198
18.4610,-3.6193,1.5695,1.2753,4.146
18.4660,-3.4818,1.3799,1.5352,4.048
18.4970,-3.3580,1.1682,1.8430,4.005
18.4970,-3.2017,0.8935,2.0465,3.903
18.4980,-3.0740,0.5768,2.0994,3.767
18.4980,-2.8359,0.3734,2.2251,3.624
18.4980,-2.4750,0.1034,2.4224,3.465
18.5160,-2.2450,-0.0615,2.4144,3.297
18.5170,-2.0620,-0.2219,2.3449,3.130
18.5170,-1.8019,-0.3018,2.1302,2.806
18.5170,-1.5725,-0.4091,1.8716,2.478
18.5180,-1.3145,-0.5320,1.5878,2.129
18.5190,-1.0928,-0.6276,1.2590,1.781
18.5260,-0.8911,-0.6747,0.9957,1.497
18.5280,-0.6718,-0.7476,0.8218,1.298
18.5320,-0.3852,-0.9538,0.7345,1.264
18.5370,-0.0660,-1.1381,0.6717,1.323
18.5410,0.1875,-1.3269,0.6178,1.476
18.5460,0.3337,-1.4340,0.4938,1.553
18.5540,0.3347,-1.4737,0.3711,1.556
18.5570,0.2604,-1.4815,0.1588,1.513
18.5610,0.1921,-1.4280,-0.0049,1.441
18.5650,0.1946,-1.4280,-0.1524,1.449
18.5960,0.2555,-1.3998,-0.2082,1.438
18.5970,0.3097,-1.4391,-0.3435,1.512
18.5970,0.2826,-1.4337,-0.5454,1.560
18.5970,0.1910,-1.4336,-0.8030,1.654
18.5970,0.0707,-1.5419,-1.2130,1.963
18.5970,-0.1306,-1.4977,-1.4833,2.112
18.5990,-0.3427,-1.4397,-2.0038,2.491
18.6060,-0.5261,-1.3583,-4.6050,4.830
18.6090,-0.5014,-1.0640,-12.4592,12.515
18.6150,-0.2347,-0.9347,-16.2481,16.277
18.6170,0.2134,-1.0691,-15.6227,15.661
18.6220,0.4613,-1.3165,-14.5949,14.661
18.6270,0.5428,-1.5893,-14.1376,14.237
18.6310,0.9459,-2.0002,-15.2017,15.362
18.6370,1.8852,-2.6461,-16.0483,16.374
18.6410,2.1174,-3.4315,-12.5940,13.224
18.6450,1.5614,-4.0986,-7.4204,8.620
18.6510,1.0242,-4.6233,-3.3883,5.823
18.6560,0.1651,-4.5746,-1.0500,4.696
18.6600,-1.0022,-4.2188,-0.0908,4.337
18.6650,-1.7589,-3.8967,0.0326,4.275
18.7070,-2.2892,-3.5799,-0.2308,4.256
18.7080,-2.6788,-3.2520,-0.5269,4.246
18.7090,-2.9168,-3.0113,-0.7189,4.254
18.7090,-3.0465,-2.8776,-0.8424,4.274
18.7090,-3.2567,-2.7220,-1.1683,4.402
18.7100,-3.4979,-2.5908,-1.7542,4.693
18.7100,-3.7569,-2.4775,-3.3860,5.632
18.7110,-3.9378,-2.1895,-6.1146,7.595
18.7110,-3.9504,-2.0176,-7.4763,8.693
18.7130,-3.8300,-2.1383,-6.8053,8.097
18.7190,-3.5315,-2.5723,-5.0772,6.698
18.7240,-3.1855,-2.8210,-3.5142,5.519
18.7310,-2.9310,-2.8884,-2.4700,4.799
18.7320,-2.7331,-2.7997,-1.9307,4.363
18.7370,-2.5348,-2.7023,-1.6855,4.070
18.7420,-2.3964,-2.6580,-1.6735,3.951
18.7460,-2.2196,-2.7166,-2.0226,4.049
18.7510,-1.7659,-2.9617,-2.8345,4.464
18.7550,-1.3246,-3.1874,-4.1761,5.418
18.7600,-0.7000,-3.4994,-6.0522,7.026
18.7650,0.1695,-3.8618,-8.4237,9.268
18.7720,1.1699,-4.1642,-11.1903,11.997
18.7750,2.2108,-4.2984,-13.4453,14.288
18.7790,2.7378,-4.1197,-12.9328,13.846
18.7840,2.4836,-3.6551,-10.3913,11.292
18.8180,1.5562,-3.2319,-7.1512,8.000
18.8190,0.3599,-2.9060,-3.8577,4.843
18.8190,-0.5982,-2.7220,-1.0936,2.994
18.8190,-1.1733,-2.7139,0.7170,3.042
18.8190,-1.3104,-2.7747,1.5958,3.459
18.8190,-1.1689,-2.7874,1.8768,3.558
18.8200,-0.6391,-3.0896,1.9126,3.689
18.8240,0.1892,-3.5213,2.0230,4.065
18.8290,1.0748,-3.9682,2.4087,4.765
18.8320,2.0053,-4.4600,2.8780,5.674
18.8360,3.0889,-5.0829,3.4493,6.876
18.8420,4.0671,-5.6746,4.0347,8.064
18.8450,5.0413,-6.1446,4.7466,9.258
18.8500,5.9477,-6.5215,5.6322,10.470
18.8550,6.7118,-6.7310,6.4962,11.513
18.8620,7.2602,-6.7392,7.3947,12.362
18.8640,7.7490,-6.7006,8.6617,13.415
18.8720,8.2727,-6.5092,9.9882,14.511
18.8770,8.4802,-5.9801,10.7742,14.959
18.8790,8.5406,-5.3209,10.9136,14.845
18.8830,8.3163,-4.2536,10.8664,14.329
18.9180,7.7584,-2.7415,9.8780,12.856
18.9190,6.8924,-1.0859,8.1205,10.706
18.9190,5.8239,0.2385,6.4127,8.666
18.9190,4.7137,1.2942,4.9593,6.963
18.9200,3.8173,2.1346,3.5135,5.610
18.9200,2.9923,2.8335,-0.4669,4.147
18.9200,2.0891,2.9359,-6.3277,7.282
18.9240,1.1489,2.7636,-8.8716,9.363
18.9310,0.3487,2.6972,-8.5870,9.007
18.9310,-0.4349,2.6426,-7.0839,7.573
18.9370,-0.8011,2.6659,-4.8663,5.606
18.9490,-1.0630,2.5399,-2.4566,3.690
18.9520,-1.2886,2.4629,-0.1869,2.786
18.9530,-1.2502,2.5158,1.7681,3.319
18.9570,-1.1098,2.6078,3.5077,4.510
18.9610,-0.9957,2.7195,5.0248,5.800
18.9640,-0.9556,2.8514,6.2157,6.905
18.9710,-1.0984,2.9965,7.1718,7.850
18.9740,-1.3901,3.2674,7.4071,8.214
18.9790,-1.6817,3.4288,7.1484,8.105
18.9830,-1.8977,3.6910,6.8415,8.002
19.0150,-2.3323,3.7949,6.6539,8.007
19.0150,-2.7226,3.8322,6.5456,8.059
19.0160,-2.9441,3.7829,6.3718,7.974
19.0160,-3.0453,3.7242,6.1189,7.784
19.0160,-3.1259,3.5585,5.9311,7.590
19.0160,-3.2373,3.3944,5.8528,7.500
19.0170,-3.2419,3.1580,5.7779,7.339
19.0220,-3.1147,2.8766,5.8427,7.219
19.0260,-2.8688,2.4496,5.7363,6.866
19.0320,-2.6012,1.9110,5.3502,6.248
19.0360,-2.1820,1.4467,4.9594,5.608
19.0410,-1.7420,1.1683,4.6760,5.125
19.0450,-1.3370,1.1567,4.6552,4.980
19.0490,-0.9530,1.3989,4.8115,5.101
19.0560,-0.6176,1.8104,5.0962,5.443
19.0580,-0.3779,2.2591,5.4462,5.908
19.0630,-0.1920,2.6489,5.8296,6.406
19.0680,-0.0650,3.0565,6.2075,6.920
19.0970,-0.0170,3.4556,6.5477,7.404
19.0970,-0.0820,3.8368,6.7822,7.793
19.0980,-0.2777,4.2435,6.8931,8.099
19.0980,-0.5280,4.5972,6.8384,8.257
19.0980,-0.7222,4.8314,6.6715,8.269
19.0980,-0.8932,4.9202,6.3973,8.120
19.1030,-0.9542,4.8542,6.0243,7.795
19.1090,-0.8530,4.6095,5.5861,7.292
19.1110,-0.6497,4.1907,5.0122,6.566
19.1150,-0.4477,3.6646,4.3095,5.675
19.1200,-0.2600,2.9828,3.4095,4.538
19.1250,-0.0848,2.2124,2.1684,3.099
19.1290,0.0556,1.2887,0.5475,1.401
19.1340,0.1952,0.2612,-1.5411,1.575
19.1400,0.4070,-0.9253,-4.2529,4.371
19.1440,0.7093,-2.2246,-7.8878,8.226
19.1490,1.0203,-3.5520,-11.5525,12.129
19.1560,1.3058,-4.7308,-14.4055,15.218
19.1630,1.2163,-5.4661,-16.4639,17.390
19.1630,0.8389,-5.6337,-16.8828,17.818
19.1680,0.3109,-5.3451,-16.0069,16.879
19.1990,-0.6275,-4.5845,-14.2347,14.968
19.1990,-1.6814,-3.5979,-11.9944,12.635
19.1990,-2.4923,-2.6862,-9.6946,10.364
19.2000,-2.9176,-2.1313,-7.6427,8.454
19.2000,-2.9255,-1.8630,-6.2911,7.184
19.2000,-2.4435,-1.7524,-5.4485,6.223
19.2030,-1.7359,-1.6670,-4.7691,5.342
19.2090,-0.8555,-1.5911,-3.9807,4.371
19.2110,0.1588,-1.4757,-3.0387,3.382
19.2160,1.2132,-1.3480,-2.0458,2.734
19.2200,2.1115,-1.0888,-0.9111,2.544
19.2240,2.7067,-0.6204,0.1619,2.782
19.2290,2.8846,-0.0287,0.9191,3.028
19.2340,2.6323,0.6815,1.3172,3.021
19.2390,2.2200,1.4339,1.4822,3.030
19.2430,1.7643,2.1886,1.2939,3.095
19.2480,1.2641,2.9334,0.8458,3.304
19.2560,0.7972,3.6212,0.3373,3.723
19.2580,0.3276,4.1105,-0.2850,4.133
19.2620,-0.0161,4.2344,-0.7039,4.293
19.2680,0.1745,3.7820,-0.7610,3.862
19.2970,0.9528,2.8564,-0.4440,3.044
19.2980,1.9867,1.6653,0.4956,2.639
19.2980,3.0335,0.4568,1.9682,3.645
19.2980,4.0789,-0.7185,3.5587,5.461
19.2980,5.0925,-1.8921,4.8773,7.301
19.2990,5.9637,-2.9516,5.5974,8.695
19.3010,6.6389,-3.8565,5.7678,9.603
19.3090,7.1914,-4.6905,5.7878,10.355
19.3120,7.8570,-5.5775,5.8780,11.287
19.3150,8.5722,-6.3543,5.9292,12.207
19.3200,9.2161,-6.9010,5.8001,12.892
19.3240,9.5025,-7.0816,5.5220,13.074
19.3280,9.1001,-6.5709,5.0320,12.301
19.3330,8.0642,-5.2780,4.1690,10.501
19.3380,6.9829,-3.8155,3.2232,8.585
19.3440,5.8536,-2.5238,2.1018,6.712
19.3480,4.6051,-1.1699,1.3813,4.948
19.3520,3.6273,0.1569,1.2774,3.849
19.3570,2.9023,1.1979,1.3624,3.423
19.3620,2.2844,1.9534,1.3822,3.308
19.3670,1.7859,2.4691,1.4095,3.358
19.3960,1.2806,2.8194,1.4026,3.399
19.3960,0.8239,3.0620,1.3687,3.454
19.3960,0.4072,3.1734,1.2921,3.451
19.3970,-0.0763,3.2042,1.2165,3.428
19.3970,-0.5294,3.1789,1.1790,3.432
19.3970,-0.9009,3.1481,1.1992,3.487
19.4000,-1.2382,3.0236,1.1480,3.463
19.4050,-1.4327,2.7941,1.2010,3.362
19.4100,-1.5464,2.5147,1.2791,3.217
19.4150,-1.6171,2.2194,1.3328,3.052
19.4190,-1.6515,1.8508,1.3574,2.828
19.4230,-1.5825,1.4260,1.3653,2.530
19.4280,-1.4389,0.9021,1.3378,2.162
19.4330,-1.2616,0.3698,1.3729,1.901
19.4380,-1.1159,-0.1281,1.3846,1.783
19.4430,-0.9738,-0.5991,1.3488,1.768
19.4470,-0.8432,-1.0222,1.4398,1.957
19.4520,-0.7414,-1.4144,1.5472,2.224
19.4580,-0.6499,-1.6756,1.6398,2.433
19.4620,-0.6742,-1.7941,1.7285,2.581
19.4670,-0.7263,-1.7943,1.8060,2.647
19.4990,-0.7751,-1.6976,1.8783,2.648
19.5000,-0.8710,-1.4661,1.9977,2.627
19.5000,-1.0260,-1.1500,2.1125,2.615
19.5000,-1.2398,-0.7874,2.1530,2.606
19.5000,-1.4309,-0.3518,2.2262,2.670
19.5000,-1.6584,0.0518,2.3379,2.867
19.5010,-1.8602,0.4548,2.4569,3.115
19.5060,-2.0070,0.8051,2.6086,3.388
19.5120,-2.1151,1.0527,2.7857,3.653
19.5170,-2.2439,1.2506,3.0142,3.960
19.5200,-2.2329,1.3945,3.0739,4.047
19.5260,-2.2111,1.4774,3.0769,4.067
19.5300,-2.1811,1.5209,3.0586,4.053
19.5340,-2.1165,1.5299,3.0214,3.994
19.5380,-2.0439,1.5308,2.9888,3.931
19.5430,-1.9610,1.4949,2.9581,3.851
19.5480,-1.8946,1.4410,2.9267,3.773
19.5530,-1.8638,1.3192,2.8489,3.651
19.5580,-1.8330,1.1939,2.7288,3.497
19.5620,-1.7307,1.0124,2.6573,3.329
19.5670,-1.6362,0.8345,2.6169,3.197
19.6060,-1.6071,0.6933,2.5860,3.123
19.6060,-1.5741,0.5553,2.5927,3.084
19.6070,-1.4750,0.3247,2.5195,2.938
19.6070,-1.4365,0.0709,2.3553,2.760
19.6080,-1.4516,-0.1348,2.1687,2.613
19.6080,-1.4552,-0.2805,2.0611,2.539
19.6080,-1.5214,-0.3331,1.8603,2.426
19.6090,-1.6138,-0.4001,1.6953,2.375
19.6110,-1.6864,-0.4245,1.5467,2.327
19.6150,-1.7127,-0.4779,1.3875,2.255
19.6190,-1.6447,-0.6179,1.2151,2.136
19.6240,-1.5736,-0.7108,1.0623,2.027
19.6300,-1.4969,-0.8190,0.8790,1.919
19.6340,-1.4024,-0.9091,0.7366,1.826
19.6390,-1.3380,-1.0098,0.5775,1.773
19.6440,-1.2151,-1.0614,0.4248,1.668
19.6490,-0.9717,-1.1428,0.2624,1.523
19.6520,-0.7685,-1.1969,0.2122,1.438
19.6590,-0.7731,-1.3026,0.2228,1.531
19.6620,-0.7916,-1.3881,0.2247,1.614
19.6670,-0.7666,-1.4723,0.1028,1.663
19.6740,-0.7626,-1.6006,-0.0337,1.773
19.6790,-0.7581,-1.7917,-0.1161,1.949
19.6810,-0.7747,-1.9907,-0.2105,2.147
19.6860,-0.8172,-2.0995,-0.2581,2.268
19.7210,-0.8811,-2.2424,-0.3388,2.433
19.7210,-0.9567,-2.3215,-0.4793,2.556
19.7210,-1.0206,-2.3583,-0.6880,2.660
19.7220,-1.1824,-2.3887,-1.0359,2.860
19.7220,-1.2533,-2.4175,-1.6995,3.210
19.7220,-1.2949,-2.4739,-2.8933,4.021
19.7220,-1.3487,-2.4679,-6.1602,6.772
19.7260,-1.4103,-2.2584,-11.2708,11.581
19.7290,-1.2724,-2.2211,-12.6614,12.918
19.7340,-1.1526,-2.3036,-12.2001,12.469
