time,ax,ay,az,aT
0.5720,-5.0289,3.9212,-0.1948,6.380
0.5770,-5.2915,4.2822,-0.7676,6.850
0.5820,-5.7172,4.7551,-1.3002,7.549
0.5870,-6.1649,5.2493,-1.6889,8.271
0.5930,-6.6835,5.8175,-1.9755,9.078
0.5960,-7.3253,6.4789,-2.1046,10.003
0.6010,-8.2150,7.1947,-2.1068,11.122
0.6060,-9.1721,7.8680,-2.0499,12.257
0.6230,-9.9987,8.4059,-1.9394,13.206
0.6230,-10.4709,8.7917,-1.9490,13.811
0.6240,-10.7128,9.0110,-1.9495,14.134
0.6250,-10.6884,8.9585,-2.0288,14.093
0.6300,-10.2576,8.5356,-2.2925,13.540
0.6350,-9.4196,7.8832,-2.8785,12.616
0.6400,-8.3153,7.0831,-3.8217,11.572
0.6460,-7.1685,6.3363,-4.9022,10.750
0.6510,-6.1171,5.7477,-5.7969,10.201
0.6560,-5.1425,5.2203,-6.3492,9.696
0.6590,-4.2141,4.8768,-6.5046,9.157
0.6630,-3.5472,4.7745,-6.3788,8.722
0.6680,-3.1388,4.8744,-6.0283,8.364
0.6720,-2.9095,5.0804,-5.5558,8.071
0.6780,-2.7369,5.2792,-5.1620,7.874
0.6820,-2.7664,5.5633,-4.7589,7.826
0.6870,-2.9994,5.8190,-4.2387,7.799
0.7020,-2.9524,5.5101,-4.2035,7.533
0.7040,-2.5321,4.4118,-5.1715,7.254
0.7050,-2.0925,3.2586,-6.3536,7.441
0.7060,-1.3405,2.3626,-7.1277,7.628
0.7110,-1.0608,2.1692,-7.2240,7.617
0.7150,-1.3903,2.5477,-6.4608,7.083
0.7200,-1.8573,3.0598,-5.1627,6.282
0.7650,-2.4181,3.4296,-3.6912,5.589
0.7660,-2.8884,3.5037,-2.4489,5.159
0.7670,-3.1286,3.4168,-1.3816,4.834
0.7670,-2.9794,3.0379,-0.4665,4.281
0.7670,-2.4819,2.3545,0.5908,3.472
0.7670,-2.2809,2.1482,1.1521,3.338
0.7680,-1.3822,1.2860,1.5893,2.468
0.7680,-0.4352,0.4773,1.8993,2.006
0.7680,-0.0319,0.2768,1.9945,2.014
0.7690,0.3966,0.1234,1.9346,1.979
0.7720,1.1867,-0.3086,1.8209,2.195
0.7770,1.5682,-0.5335,1.5001,2.235
0.7820,2.1219,-0.6474,1.2480,2.545
0.7860,2.2928,-0.5187,1.2637,2.669
0.7940,2.2659,-0.1510,2.2800,3.218
0.7970,2.1453,-0.0682,3.5798,4.174
0.8010,1.9712,-0.2743,4.4181,4.846
0.8050,1.8827,-0.5057,4.6972,5.086
0.8270,2.0897,-0.7030,4.7508,5.237
0.8280,2.5434,-0.8323,4.6787,5.390
0.8280,3.0345,-0.8394,4.6408,5.608
0.8280,3.2377,-0.6198,4.7348,5.769
0.8290,3.2204,-0.2741,5.2063,6.128
0.8340,3.2172,-0.0500,5.6405,6.494
0.8390,3.5553,-0.3223,5.9797,6.964
0.8430,3.7998,-0.7655,6.6722,7.716
0.8480,3.4361,-1.2031,6.9159,7.816
0.8520,3.2082,-1.7849,6.8560,7.777
0.8570,3.0384,-2.4065,6.8356,7.858
0.8620,2.9661,-3.0028,6.3328,7.610
0.8670,2.9647,-3.5037,5.5296,7.186
0.8730,3.0310,-3.9267,4.4969,6.695
0.8880,3.1593,-4.1415,3.5851,6.323
0.8890,3.1674,-4.2718,2.5871,5.914
0.8900,3.1313,-4.2845,1.2565,5.454
0.8910,3.3301,-4.2068,0.0172,5.365
0.8960,3.3659,-4.1063,-1.0936,5.421
0.9010,3.3025,-4.2893,-1.9435,5.752
0.9050,3.3233,-4.5853,-2.3272,6.123
0.9280,3.6352,-5.2681,-2.8427,7.003
0.9290,4.0979,-5.9191,-3.3514,7.941
0.9290,4.4063,-6.2566,-3.8939,8.586
0.9290,4.3207,-6.3341,-3.8144,8.564
0.9300,3.7867,-6.0832,-3.3031,7.890
0.9350,3.0710,-5.6394,-2.4633,6.878
0.9390,2.6624,-5.0620,-1.6927,5.965
0.9430,2.5884,-4.4899,-1.0371,5.285
0.9480,3.1948,-3.6441,-0.4529,4.867
0.9540,3.2486,-3.4529,-0.1929,4.745
0.9590,2.7067,-3.7897,-0.1970,4.661
0.9620,2.0761,-4.1159,-0.2548,4.617
0.9680,1.4097,-4.1062,-0.1012,4.343
0.9790,0.4903,-3.8112,-0.4737,3.872
0.9800,-0.6446,-3.3266,-1.0867,3.558
0.9820,-1.9678,-2.5638,-2.2106,3.916
0.9860,-3.0805,-1.7250,-3.2502,4.799
0.9900,-3.6404,-0.6245,-4.0080,5.450
0.9950,-2.6491,1.6707,-4.4332,5.428
1.0000,-1.7665,3.2133,-4.0618,5.472
1.0040,-0.9420,3.8428,-2.8475,4.875
1.0220,0.1664,4.2926,-1.8272,4.668
1.0240,0.8337,4.4215,-1.8164,4.852
1.0270,1.0086,4.1527,-2.4419,4.922
1.0820,0.9984,3.8845,-2.6564,4.811
1.0830,0.8212,3.5417,-2.2545,4.278
1.0840,0.6440,3.0352,-1.2483,3.344
1.0840,0.5647,2.4029,0.1777,2.475
1.0840,0.5068,1.6766,1.2322,2.142
1.0850,0.6797,0.7828,1.9304,2.191
1.0850,0.8713,-0.1323,2.2313,2.399
1.0860,1.0410,-1.0495,2.4125,2.829
1.0860,1.1238,-1.8874,2.4183,3.267
1.0860,1.1097,-2.6586,2.3555,3.721
1.0870,1.0962,-3.2752,2.3047,4.152
