3.590459999999999763e-01,-1.200171199999999949e+01,-9.186790000000000234e+00,1.511843627711411031e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.671844000000000108e+00,-5.155901000000000067e+00,-9.521900000000000475e+00,1.143382407998903183e+01,-3.995058700000000268e-02,1.065348999999999983e-02,2.130697999999999967e-02,4.651380061385082532e-02
-4.131422999999999845e+00,-4.610151000000000110e+00,-8.238910000000000622e+00,1.030542508758517961e+01,-7.244373600000000302e-01,1.890994500000000023e-01,1.544756100000000132e-01,7.644807418365384688e-01
-3.671844000000000108e+00,-7.224005700000000196e+00,-8.506997000000000142e+00,1.174894440671065077e+01,-7.244373600000000302e-01,1.890994500000000023e-01,1.544756100000000132e-01,7.644807418365384688e-01
-3.106944799999999951e+00,-9.339983999999999398e+00,-9.234664000000000428e+00,1.349694136845081793e+01,-1.177210700000000054e+00,3.835256400000000010e-01,1.784459700000000093e-01,1.250903638551403629e+00
-2.187787000000000148e+00,-1.169532599999999967e+01,-9.110193999999999903e+00,1.498541614107799802e+01,-1.352993200000000007e+00,6.205658299999999850e-01,1.225151349999999972e-01,1.493553650497328800e+00
-1.795230000000000103e+00,-1.299746599999999930e+01,-8.842107000000000383e+00,1.582213099975805903e+01,-1.017408400000000102e+00,1.161230399999999996e+00,-1.624657200000000079e-01,1.552408130760026372e+00
-1.661186199999999946e+00,-1.259533399999999936e+01,-8.459125000000000227e+00,1.526298705785507082e+01,-1.017408400000000102e+00,1.161230399999999996e+00,-1.624657200000000079e-01,1.552408130760026372e+00
-1.440971400000000013e+00,-1.112085150000000056e+01,-7.970821400000000168e+00,1.375804239168378906e+01,-8.895663999999999794e-01,1.427567699999999995e+00,-3.595553000000000221e-01,1.720045909808903817e+00
-1.440971400000000013e+00,-9.924032000000000409e+00,-7.463370000000000282e+00,1.250058804494980436e+01,-7.697146499999999447e-01,1.643300900000000064e+00,-5.246843700000000110e-01,1.888965901885931054e+00
